2022-04-23 20:03:33.582 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$8769cfd7] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-04-23 20:03:33.616 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$a383d2d4] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-04-23 20:03:33.978 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8991 (http)
2022-04-23 20:03:33.996 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8991"]
2022-04-23 20:03:34.005 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-04-23 20:03:34.005 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.19]
2022-04-23 20:03:34.167 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-04-23 20:03:34.167 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2217 ms
2022-04-23 20:03:34.394 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2022-04-23 20:03:34.530 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-04-23 20:03:36.276 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: OrRequestMatcher [requestMatchers=[Ant [pattern='/oauth/token'], Ant [pattern='/oauth/token_key'], Ant [pattern='/oauth/check_token']]], [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@748904e8, org.springframework.security.web.context.SecurityContextPersistenceFilter@5d5d3a5c, org.springframework.security.web.header.HeaderWriterFilter@27358a19, org.springframework.security.web.authentication.logout.LogoutFilter@5c70d7f0, org.springframework.security.oauth2.provider.client.ClientCredentialsTokenEndpointFilter@6eede35e, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@51ed2f68, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7e18ced7, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@32a8ca06, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4fbaa7f5, org.springframework.security.web.session.SessionManagementFilter@22865072, org.springframework.security.web.access.ExceptionTranslationFilter@4e5c8ef3, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@12cd129c]
2022-04-23 20:03:36.286 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: OrRequestMatcher [requestMatchers=[any request]], [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5546e754, org.springframework.security.web.context.SecurityContextPersistenceFilter@586843bc, org.springframework.security.web.header.HeaderWriterFilter@7cdb7fc, org.springframework.security.web.authentication.logout.LogoutFilter@5599b5bb, org.springframework.security.oauth2.provider.authentication.OAuth2AuthenticationProcessingFilter@2df3545d, com.hznu.xdd.config.weixin.WeiXinMiniProgramAuthenticationFilter@ad0bb4e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@17134190, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7d8b66d9, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7196a8f1, org.springframework.security.web.session.SessionManagementFilter@524f5ea5, org.springframework.security.web.access.ExceptionTranslationFilter@29dcdd1c, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@a323a5b]
2022-04-23 20:03:36.292 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2c2e3460, org.springframework.security.web.context.SecurityContextPersistenceFilter@2b9aeedb, org.springframework.security.web.header.HeaderWriterFilter@6b09ce57, org.springframework.security.web.csrf.CsrfFilter@653a5967, org.springframework.security.web.authentication.logout.LogoutFilter@790ac3e0, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@44da7eb3, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@59a09be, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@3b96f8b0, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@3d512652, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@63485d7, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@23ea8830, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2b170932, org.springframework.security.web.session.SessionManagementFilter@5c4f4330, org.springframework.security.web.access.ExceptionTranslationFilter@766b6d02, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@56d6a1b1]
2022-04-23 20:03:36.436 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-04-23 20:03:36.905 [main] WARN  o.s.b.a.freemarker.FreeMarkerAutoConfiguration - Cannot find template location(s): [classpath:/templates/] (please add some templates, check your FreeMarker configuration, or set spring.freemarker.checkTemplateLocation=false)
2022-04-23 20:03:36.943 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2022-04-23 20:03:38.215 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2022-04-23 20:03:38.309 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8991"]
2022-04-23 20:03:38.336 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8991 (http) with context path ''
2022-04-23 20:03:38.338 [main] INFO  com.hznu.xdd.Xdd_Application - Started Xdd_Application in 9.567 seconds (JVM running for 11.017)
